scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,1269,Bridge end,N1,0,0
S2,0,1273,Bridge start,N1,0,0
S2,0,1274,Bridge end,N1,0,0
S2,0,1280,Bridge start,N1,0,0
S2,0,1281,Bridge end,N1,0,0
S2,0,1283,Bridge start,N1,0,0
S2,0,1284,Bridge end,N1,0,0
S2,0,1285,Bridge start,N1,0,0
S2,0,1286,Bridge end,N1,0,0
S2,0,1290,Bridge start,N1,0,0
S2,0,1291,Bridge end,N1,0,0
S2,0,1296,Bridge start,N1,0,0
S2,0,1297,Bridge end,N1,0,0
S2,0,1304,Bridge start,N1,0,0
S2,0,1305,Bridge end,N1,0,0
S2,0,1307,Bridge start,N1,0,0
S2,0,1308,Bridge end,N1,0,0
S2,0,1312,Bridge start,N1,0,0
S2,0,1313,Bridge end,N1,0,0
S2,0,1317,Bridge start,N1,0,0
S2,0,1318,Bridge end,N1,0,0
S2,0,1322,Bridge start,N1,0,0
S2,0,1323,Bridge end,N1,0,0
S2,0,1325,Bridge start,N1,0,0
S2,0,1326,Bridge end,N1,0,0
S2,0,1331,Bridge start,N1,0,0
S2,0,1332,Bridge end,N1,0,0
S2,0,1335,Bridge start,N1,0,0
S2,0,1336,Bridge end,N1,0,0
S2,0,2349,Bridge start,N2,5326,1
S2,0,2350,Bridge end,N2,4836,1
S2,0,2365,Bridge start,N2,5475,1
S2,0,2366,Bridge end,N2,5438,1
S2,0,2376,Bridge start,N2,5745,1
S2,0,2377,Bridge end,N2,1920,1
S2,0,2409,Bridge start,N2,2164,1
S2,0,2410,Bridge end,N2,6025,1
S2,0,2425,Bridge start,N2,10580,1
S2,0,2426,Bridge end,N2,5584,1
S2,0,2428,Bridge start,N2,6113,1
S2,0,2429,Bridge end,N2,6004,1
S2,0,2455,Bridge start,N2,5834,1
S2,0,2456,Bridge end,N2,2288,1
S2,0,2482,Bridge start,N2,5739,1
S2,0,2483,Bridge end,N2,10243,1
S2,0,2489,Bridge start,N2,5978,1
S2,0,2490,Bridge end,N2,2318,1
S2,0,2491,Bridge start,N2,6214,1
S2,0,2492,Bridge end,N2,0,0
S2,0,2497,Bridge start,N2,5750,1
S2,0,2498,Bridge end,N2,4896,1
S2,0,2503,Bridge start,N2,5791,1
S2,0,2504,Bridge end,N2,2129,1
S2,0,2506,Bridge start,N2,5506,1
S2,0,2507,Bridge end,N2,2365,1
S2,0,2511,Bridge start,N2,0,0
S2,0,2512,Bridge end,N2,0,0
S2,0,2517,Bridge start,N2,6173,1
S2,0,2518,Bridge end,N2,0,0
S2,0,2524,Bridge start,N2,10652,1
S2,0,2525,Bridge end/ Start of Kishoreganj road Division / Bridge end/ Start of Kishoreganj road Division,N2,0,0
S2,0,2527,Bridge start,N2,6039,1
S2,0,2528,Bridge end,N2,1920,1
S2,0,2536,Bhairab Bridge,N2,0,0
S2,0,2538,Bridge end,N2,1791,1
S2,0,2550,Bridge start,N2,5934,1
S2,0,2551,Bridge end,N2,2291,1
S2,0,2577,Bridge start,N2,0,0
S2,0,2578,Bridge end,N2,0,0
S2,0,2582,Bridge start,N2,0,0
S2,0,2583,Bridge end,N2,0,0
S2,0,2585,Bridge start,N2,57692,1
S2,0,2586,Bridge end,N2,22740,1
