link_no,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length_km,heavy_truck,medium_truck,small_truck,large_bus,medium_bus,micro_bus,utility,car,auto_rickshaw,motorcycle,bicycle,cycle_rickshaw,cart,motorized_total,non_motorized_total,total_aadt,aadt,road
N805-16,Fakirhat (Int.with R771)- Noapara (Int.with R770),LRP099,530,100.523,LRP107,1040,109.053,8.530,97.0,576.0,472.0,124.0,129.0,235.0,116.0,192.0,1201.0,856.0,558.0,683.0,0.0,3998.0,1241.0,5239.0,5239.0,N805
N805-17,Noapara (Int.with R770)-Katakhali Traffic More,LRP107,1040,109.053,LRP109,990,110.633,1.580,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0,N805
N103-1,Kuatali-Ghaturia,LRPS,0,0,LRPE,0,4.779,4.779,0.0,110.0,144.0,0.0,0.0,228.0,57.0,138.0,11797.0,1413.0,718.0,12094.0,0.0,13887.0,12812.0,26699.0,26699.0,N103
N213-1,Start from N2 at Asugonj Gol Chottor- Asuganj New Ferry Ghat,LRPS,0,0,LRPE,0,0.5,0.500,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,N213
N516-1,SP Office-Int.with R547,LRPS,0,0,LRP001,200,1.3,1.300,62.0,1027.0,672.0,135.0,176.0,235.0,29.0,161.0,933.0,946.0,570.0,734.0,0.0,4376.0,1304.0,5680.0,5680.0,N516
N516-2,Int.with R547 - Santahar Bypass,LRP001,200,1.3,LRP008,160,8,6.700,7.0,1235.0,460.0,64.0,57.0,294.0,47.0,81.0,682.0,975.0,658.0,716.0,0.0,3902.0,1374.0,5276.0,5276.0,N516
N124-1,Int.with N1- Mithachara (Int.with N1),LRPS,0,0,LRPE,0,0.857,0.857,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,*  NS,N124
N404-1,Nagarjalphai-Tangail Old Bus Stand(Int.with R506),LRPS,0,0,LRPS,2528,2.528,2.528,0.0,645.0,332.0,887.0,199.0,324.0,131.0,479.0,6335.0,1263.0,959.0,1136.0,0.0,10595.0,2095.0,12690.0,12690.0,N404
N404-2,Tangail Old Bus Stand(Int.with R506)-Balia (Int.with N4),LRPS,2528,2.528,LRPE,0,6.489,3.961,0.0,645.0,332.0,887.0,199.0,324.0,131.0,479.0,6335.0,1263.0,959.0,1136.0,0.0,10595.0,2095.0,12690.0,12690.0,N404
N701-1,Int.with N7-Int.with N7,LRPS,0,0,LRPE,0,1,1.000,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,N701
